id,id_grupo,clase_objetivo,macro_sistema,nivel_informacion,texto_usuario,tipo_lenguaje,condicion_operacion,sintomas_presentes,sintomas_negados,dtc,requiere_pregunta,es_contrastivo,clase_contrastiva,fuente,observaciones
F10-L04-0001,G16-L1-01,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L1,Se prende la luz roja de la aceitera cuando me detengo en el semáforo.,COTIDIANO,ralenti_caliente,testigo_aceite_ralenti,,,SI,NO,,SINTETICO_IA,L1 testigo de presión de aceite al detenerse.
F10-L04-0002,G16-L1-02,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L1,"Hola, mi carro tiene motor 3 cilindros y siento que el pedal del freno se puso duro.",WHATSAPP,frenado,pedal_freno_duro,,,SI,NO,,SINTETICO_IA,L1 pérdida de vacío por bomba taponada.
F10-L04-0003,G16-L1-03,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L1,Encontré como pedacitos de plástico o goma negra pegados en la varilla del aceite.,COTIDIANO,revision_aceite,residuos_goma_varilla_aceite,,,SI,NO,,SINTETICO_IA,L1 filamentos de caucho en varilla.
F10-L04-0004,G16-L1-04,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L1,El motor suena como un zumbido sordo adelante y el aceite huele a quemado.,COTIDIANO,marcha,zumbido_delantero|olor_aceite_quemado,,,SI,NO,,SINTETICO_IA,L1 zumbido frontal y degradación.
F10-L04-0005,G16-L1-05,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L1,Apareció un mensaje de baja presión de aceite y el motor empezó a cascabelear.,TALLER,marcha,mensaje_baja_presion|cascabeleo,,,SI,NO,,SINTETICO_IA,L1 aviso de lubricación con cascabeleo.
F10-L04-0006,G16-L1-06,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L1,El auto perdió fuerza de golpe y gira sin compresión al darle arranque.,TALLER,arranque,perdida_fuerza|giro_sin_compresion,,,SI,NO,,SINTETICO_IA,L1 rotura o salto de correa húmeda.
F10-L04-0007,G16-L1-07,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L1,Siento un ruido de roce de correa por dentro del motor de mi camioneta.,COTIDIANO,ralenti,ruido_roce_interno,,,SI,NO,,SINTETICO_IA,L1 fricción interna en faja húmeda.
F10-L04-0008,G16-L1-08,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L1,Se prendio el foco del aceite y parpadea cuando el motor calienta bastante.,ERROR_ORTOGRAFICO,motor_caliente,foco_aceite_parpadea,,,SI,NO,,SINTETICO_IA,L1 testigo de lubricación parpadeante en caliente.
F10-L04-0009,G16-L1-09,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L1,"Buenas tardes, me dijeron en el cambio de aceite que la faja va sumergida y está fea.",WHATSAPP,inspeccion_lubricentro,faja_sumergida_desgastada,,,SI,NO,,SINTETICO_IA,L1 alerta visual por tapón de llenado.
F10-L04-0010,G16-L1-10,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L1,Caída progresiva de presión en la galería principal tras circular a velocidad de crucero.,TECNICO,velocidad_crucero,caida_presion_galeria_aceite,,,SI,NO,,SINTETICO_IA,L1 reporte técnico de pérdida de carga hidráulica.
