id,id_grupo,clase_objetivo,macro_sistema,nivel_informacion,texto_usuario,tipo_lenguaje,condicion_operacion,sintomas_presentes,sintomas_negados,dtc,requiere_pregunta,es_contrastivo,clase_contrastiva,fuente,observaciones
F10-L08-0001,G42-L1-01,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L1,Cada vez que paso por un bache o rompemuelles se siente un golpe seco en la parte de adelante.,COTIDIANO,paso_baches,golpe_seco_adelante_en_baches,,,SI,NO,,SINTETICO_IA,L1 golpe seco en baches sin detalles.
F10-L08-0002,G42-L1-02,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L1,"Hola, siento que el carro rebota demasiado como si fuera una lancha después de pasar un desnivel.",WHATSAPP,desnivel_rebote,rebote_excesivo_tipo_lancha,,,SI,NO,,SINTETICO_IA,L1 rebote continuo sin especificar amortiguador.
F10-L08-0003,G42-L1-03,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L1,Tiene un golpeteo metálico en la rueda derecha cuando la pista está fea.,COTIDIANO,pista_irregular,golpeteo_rueda_derecha_pista_fea,,,SI,NO,,SINTETICO_IA,L1 golpeteo en rueda con terreno irregular.
F10-L08-0004,G42-L1-04,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L1,Mi auto cascabelea en la suspension delantera al andar por afirmado.,COTIDIANO,camino_afirmado,cascabeleo_suspension_afirmado,,,SI,NO,,SINTETICO_IA,L1 cascabeleo en afirmado.
F10-L08-0005,G42-L1-05,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L1,Siento la trompa suelta e inestable cuando paso por huecos de la pista.,TALLER,huecos_inestabilidad,trompa_suelta_inestable_en_huecos,,,SI,NO,,SINTETICO_IA,L1 trompa suelta e inestable.
F10-L08-0006,G42-L1-06,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L1,"Buenas, rechina horrible como cama vieja cuando se mueve la carrocería.",WHATSAPP,balanceo_carroceria,rechinido_cama_vieja_carroceria,,,SI,NO,,SINTETICO_IA,L1 crujido tipo cama vieja.
F10-L08-0007,G42-L1-07,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L1,El carro se me va de lado y brinca feo en pista con ondulaciones.,COTIDIANO,ondulaciones_pista,brinca_se_va_de_lado_ondulaciones,,,SI,NO,,SINTETICO_IA,L1 brinco e inestabilidad en ondulaciones.
F10-L08-0008,G42-L1-08,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L1,Ayuda suena un cloc cloc en la llanta izquierda al pasar por piedras.,ERROR_ORTOGRAFICO,camino_empedrado,cloc_cloc_llanta_izquierda_piedras,,,SI,NO,,SINTETICO_IA,L1 ruido cloc cloc en piedras.
F10-L08-0009,G42-L1-09,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L1,Al frenar siento que la trompa del auto se clava demasiado hacia adelante.,COTIDIANO,frenada_hundimiento,trompa_se_clava_al_frenar,,,SI,NO,,SINTETICO_IA,L1 clavado excesivo al frenar.
F10-L08-0010,G42-L1-10,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L1,Se escucha un golpe sordo abajo en el piso cada vez que agarro un bache.,COTIDIANO,agarre_bache,golpe_sordo_piso_en_bache,,,SI,NO,,SINTETICO_IA,L1 golpe sordo en el piso.
F10-L08-0011,G42-L2-01,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L2,Al pasar baches a 30 km/h se siente un golpe sordo en el trapecio delantero derecho; en pista lisa a 100 km/h no vibra nada el volante.,COTIDIANO,baches_30kmh_vs_pista_lisa,golpe_sordo_trapecio_derecho_baches,vibracion_volante_100kmh,,NO,SI,Llantas desbalanceadas o desalineadas,SINTETICO_IA,L2 golpe en bache sin vibración en pista lisa descarta desbalanceo.
F10-L08-0012,G42-L2-02,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L2,El amortiguador delantero izquierdo tiene aceite chorreado en el cuerpo metálico y al pasar rompemuelles el carro rebota 3 veces seguidas.,TALLER,rompemuelles_rebote_triple,amortiguador_chorreado_aceite|rebote_triple_rompemuelles,falla_frenos,,NO,SI,Caliper de freno trabado o mordaza pegada (piston agarrotado),SINTETICO_IA,L2 amortiguador reventado con fuga hidráulica visible y rebote.
F10-L08-0013,G42-L2-03,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L2,Golpeteo seco al circular por calles empedradas a baja velocidad; al mover el timón en parado no hay holgura en la cremallera.,COTIDIANO,empedrado_baja_velocidad,golpeteo_seco_empedrado,holgura_cremallera_en_parado,,NO,SI,Cremallera de direccion asistida con holgura o fuga,SINTETICO_IA,L2 golpeteo en empedrado sin juego en cremallera.
F10-L08-0014,G42-L2-04,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L2,Bujes grandes de los trapecios delanteros completamente cuarteados y rajados; al frenar fuerte se escucha un clonk y la rueda se desplaza hacia atrás.,TECNICO,frenada_fuerte_desplazamiento_rueda,bujes_trapecio_rajados|clonk_al_frenar_desplaza_rueda,falla_disco_freno,,NO,SI,Discos de freno alabeados o desgastados,SINTETICO_IA,L2 bujes de trapecio rajados con desplazamiento longitudinal al frenar.
F10-L08-0015,G42-L2-05,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L2,"Hola maestro, cuando paso baches suena un cascabeleo metálico rápido en la suspensión delantera; no zumba en carretera recta a 90 km/h.",WHATSAPP,baches_cascabeleo_vs_carretera,cascabeleo_metalico_en_baches,zumbido_carretera_90kmh,,NO,SI,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),SINTETICO_IA,L2 cascabeleo en bache descarta rodamiento de maza.
F10-L08-0016,G42-L2-06,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L2,Bieletas de la barra estabilizadora con holgura perceptible con la mano; golpetean de forma continua en pavimento irregular y baches leves.,TALLER,pavimento_irregular_bieletas,bieletas_con_holgura_manual|golpeteo_pavimento_irregular,falla_semieje,,NO,SI,Juntas homocineticas o palieres danados,SINTETICO_IA,L2 bieletas con juego manual en baches leves.
F10-L08-0017,G42-L2-07,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L2,Inestabilidad y balanceo lateral de la carrocería en curvas a 70 km/h con rebote continuo de la parte trasera tras desniveles de puente.,COTIDIANO,curvas_70kmh_desnivel_puente,balanceo_carroceria_curva|rebote_continuo_trasero,falla_direccion,,NO,SI,Cremallera de direccion asistida con holgura o fuga,SINTETICO_IA,L2 amortiguadores traseros descargados provocan cabeceo y balanceo.
F10-L08-0018,G42-L2-08,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L2,Crujido áspero como goma reseca al girar el volante en parado o subir rampas; la copela superior del amortiguador tiene el rodamiento trabado.,TECNICO,giro_parado_rampas_copela,crujido_goma_copela_superior|rodamiento_copela_trabado,falla_cremallera,,NO,SI,Cremallera de direccion asistida con holgura o fuga,SINTETICO_IA,L2 copela de suspensión cruje al torcer volante.
F10-L08-0019,G42-L2-09,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L2,Golpe sordo en el piso del lado del copiloto cada vez que la rueda cae en un hueco; los neumáticos tienen desgaste parejo sin deformación.,COTIDIANO,rueda_cae_en_hueco,golpe_sordo_piso_copiloto_hueco,desgaste_deforme_neumaticos,,NO,SI,Llantas desbalanceadas o desalineadas,SINTETICO_IA,L2 golpe al caer en hueco con neumáticos parejos descarta alineación.
F10-L08-0020,G42-L2-10,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L2,Amortiguadores traseros pierden gas y aceite; en carretera el vehículo pierde adherencia en el eje trasero al pasar juntas de dilatación.,TECNICO,juntas_dilatacion_adherencia,perdida_gas_aceite_traseros|perdida_adherencia_eje_trasero,falla_frenado,,NO,SI,Llantas desbalanceadas o desalineadas,SINTETICO_IA,L2 pérdida de gas/aceite trasero genera rebote en juntas de asfalto.
F10-L08-0021,G42-L2-11,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L2,"Buenas tardes, en pistas bacheadas la tijera izquierda golpea metálicamente; si acelero en recta suave no hay zumbidos ni vibraciones.",WHATSAPP,pistas_bacheadas_tijera,tijera_golpea_en_baches,zumbidos_vibraciones_recta,,NO,SI,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),SINTETICO_IA,L2 tijera golpea en bache sin ruidos de rodadura en recta.
F10-L08-0022,G42-L2-12,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L2,Tope de goma de rebote del vástago del amortiguador destrozado y desintegrado; el amortiguador hace tope de fondo metálico en baches profundos.,TALLER,tope_rebote_fondo_metalico,tope_goma_desintegrado|tope_fondo_metalico_en_baches,falla_chasis,,NO,NO,,SINTETICO_IA,L2 tope de poliuretano desintegrado golpea vástago.
F10-L08-0023,G42-L2-13,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L2,Silentblocks del puente trasero fisurados y desprendidos de su casquillo metálico; la cola del vehículo derrapa levemente en curvas bacheadas.,TECNICO,curvas_bacheadas_derrape_cola,silentblocks_puente_trasero_fisurados|derrape_cola_en_curvas,falla_frenos_abs,,NO,SI,Falla en sensor de velocidad de rueda ABS,SINTETICO_IA,L2 silentblocks de eje trasero con desprendimiento causan deriva.
F10-L08-0024,G42-L2-14,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L2,Rechina fuertemente al comprimir la suspensión al subir una vereda o loma; los bujes de la barra estabilizadora están secos y endurecidos.,COTIDIANO,subir_vereda_loma,rechina_al_comprimir_suspension|bujes_estabilizadora_secos,falla_homocinetica,,NO,SI,Juntas homocineticas o palieres danados,SINTETICO_IA,L2 bujes de barra estabilizadora resecan crujido en compresión.
F10-L08-0025,G42-L2-15,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L2,El tren delantero golpetea en calles adoquinadas; levantando el carro se comprobó juego libre de 5 mm en la rótula inferior de suspensión.,TALLER,calles_adoquinadas_juego_rotula,golpeteo_adoquinado|juego_libre_5mm_rotula_inferior,falla_llanta,,NO,SI,Llantas desbalanceadas o desalineadas,SINTETICO_IA,L2 rótula de suspensión con holgura de 5 mm en adoquín.
F10-L08-0026,G42-L3-01,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L3,Evaluación de suspensión en banco dinamométrico de vibraciones (método Eusama): el amortiguador delantero izquierdo registra una eficacia de adherencia de solo 24% con desequilibrio del 52% respecto al derecho (76%). Inspección visual constata vástago cromado rayado longitudinalmente con fuga activa de aceite hidráulico SAE 5W impregnando el resorte helicoidal. Al descender del banco de prueba y circular sobre resaltos a 25 km/h la carrocería experimenta 4 oscilaciones verticales antes de estabilizarse.,TECNICO,banco_eusama_adherencia_24_porciento,adherencia_eusama_24_porciento|desequilibrio_52_porciento|vastago_rayado_fuga_aceite|4_oscilaciones_resalto,falla_frenos,,NO,SI,Caliper de freno trabado o mordaza pegada (piston agarrotado),SINTETICO_IA,L3 prueba Eusama 24% y fuga en vástago con 4 rebotes.
F10-L08-0027,G42-L3-02,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L3,Inspección de tren delantero con barra de palanca en fosa de taller: el buje posterior de la tijera inferior izquierda (silentblock horizontal de caucho-metal) presenta desgarro perimetral completo del elastómero con juego radial de 6.2 mm. En prueba de carretera a 40 km/h al aplicar una frenada intempestiva se produce un golpe metálico de 86 dBA y la rueda se desplaza 15 mm hacia atrás dentro del guardabarros modificando el ángulo de avance temporalmente.,TECNICO,palanca_fosa_desgarro_buje_6_2mm,desgarro_perimetral_silentblock|juego_radial_6_2mm|clonk_frenada_86dba|desplazamiento_15mm,falla_frenado,,NO,SI,Discos de freno alabeados o desgastados,SINTETICO_IA,L3 buje de trapecio con desgarro total y juego radial de 6.2 mm.
F10-L08-0028,G42-L3-03,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L3,Vehículo utilitario ingresa por cabeceo incontrolable en eje posterior bajo carga de 600 kg. En banco de amortiguadores los cilindros traseros registran 18% de eficacia; ambos amortiguadores monotubo perdieron la precarga de gas nitrógeno a 20 bar quedando únicamente con emulsión espumosa de aceite. En prueba de rebote manual vertical la cola oscila libremente sin amortiguamiento hidráulico.,TALLER,perdida_gas_nitrógeno_monotubo_18porciento,eficacia_18_porciento_banco|perdida_gas_nitrogeno_20bar|emulsion_espumosa|oscilacion_libre,falla_muelles,,NO,NO,,SINTETICO_IA,L3 amortiguadores monotubo descargados con pérdida de 20 bar de nitrógeno.
F10-L08-0029,G42-L3-04,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L3,"Diagnóstico de ruido frontal en Toyota Hilux 4x4: en pista adoquinada a 35 km/h se genera un cascabeleo sordo constante. Se utilizó estetoscopio chasis inalámbrico con 4 pinzas piezoeléctricas: el canal 1 ubicado en la bieleta estabilizadora derecha registró picos de aceleración de 14.8 m/s2 a 180 Hz confirmando holgura de 2.8 mm en la rótula de la bieleta, mientras el canal 2 en la cremallera de dirección se mantuvo en niveles basales de 1.2 m/s2 descartando caja de dirección.",TECNICO,estetoscopio_chasis_bieleta_14_8ms2,bieleta_holgura_2_8mm|picos_14_8ms2_a_180hz|cremallera_basal_1_2ms2,holgura_cremallera,,NO,SI,Cremallera de direccion asistida con holgura o fuga,SINTETICO_IA,L3 estetoscopio chasis discrimina bieleta (14.8 m/s2) vs cremallera (1.2 m/s2).
F10-L08-0030,G42-L3-05,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L3,"Hola maestro, tengo un Kia Rio. Cuando paso por pistas con huecos o asfalto roto suena como si la llanta derecha se fuera a desarmar con un traqueteo seco. En autopista lisa a 110 km/h el auto rueda parejito sin vibrar el timón y el motor no tiene ninguna falla. En el taller me dijeron que el amortiguador botó todo el líquido y el buje del trapecio está rajado.",WHATSAPP,rio_baches_vs_autopista_110kmh,traqueteo_seco_en_asfalto_roto|amortiguador_boto_liquido|buje_rajado,vibracion_timon_110kmh,,NO,SI,Llantas desbalanceadas o desalineadas,SINTETICO_IA,L3 relato WhatsApp de amortiguador sin líquido y buje rajado sin vibrar a 110.
F10-L08-0031,G42-L3-06,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L3,Desmontaje de puntal MacPherson delantero: la copela superior con rodamiento axial de bolas se encuentra gripada por corrosión con pérdida del 80% de las bolas de acero. Al girar la dirección con el vehículo detenido el muelle helicoidal se torsionaba y saltaba bruscamente emitiendo crujidos metálicos de 92 dBA que reverberaban en la torreta del chasis.,TALLER,desarme_macpherson_copela_gripada,copela_gripada_corrosion|perdida_bolas_acero|muelle_torsiona_y_salta|crujido_92dba,falla_cremallera,,NO,SI,Cremallera de direccion asistida con holgura o fuga,SINTETICO_IA,L3 copela MacPherson gripada hace saltar el muelle con crujido.
