id,id_grupo,texto_usuario,clase_objetivo,pred_c1,correct_c1,in_top3_c1,conf_c1,macro_sistema,pred_macro_fix,macro_correct
F10L01_0011,C1_G11,El motor tiembla en ralenti y pierde un poco de fuerza al acelerar.,Falla en bujias o bobinas de encendido (misfire),Falla en bujias o bobinas de encendido (misfire),1,True,0.9316,MOTOR,MOTOR,1
F10L01_0020,C1_G20,"El motor no trabaja en los 4 cilindros, se nota el fallo.",Falla en bujias o bobinas de encendido (misfire),Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),0,True,0.3498,MOTOR,MOTOR,1
F10L01_0022,C1_G22,Codigo P0301 y el motor tiembla del lado del cilindro 1.,Falla en bujias o bobinas de encendido (misfire),Falla en bujias o bobinas de encendido (misfire),1,True,0.6929,MOTOR,MOTOR,1
F10L01_0051,C2_G11,Cuando el tanque esta por la mitad o menos el carro pierde fuerza en las subidas.,Bomba de gasolina quemada o con baja presion,Bomba de gasolina quemada o con baja presion,1,True,0.9735,MOTOR,MOTOR,1
F10L01_0060,C2_G20,Zumbido agudo debajo del asiento trasero y perdida de potencia en pendientes.,Bomba de gasolina quemada o con baja presion,Bomba de gasolina quemada o con baja presion,1,True,0.9515,MOTOR,MOTOR,1
F10L01_0062,C2_G22,En caliente y con poca gasolina el carro no responde bien al acelerador.,Bomba de gasolina quemada o con baja presion,Bomba de gasolina quemada o con baja presion,1,True,0.5139,MOTOR,MOTOR,1
F10L01_0091,C3_G11,Al acelerar fuerte el carro tironea y se siente como ahogado un momento.,Inyectores sucios o filtro de combustible obstruido,Inyectores sucios o filtro de combustible obstruido,1,True,0.8416,MOTOR,MOTOR,1
F10L01_0100,C3_G20,El carro da tirones suaves en aceleracion parcial. No hay zumbido de tanque.,Inyectores sucios o filtro de combustible obstruido,Cuerpo de aceleracion o valvula IAC sucia,0,True,0.7385,MOTOR,MOTOR,1
F10L01_0102,C3_G22,Cuando acelero se siente como que no llega bien la gasolina. Tanque con buen nivel.,Inyectores sucios o filtro de combustible obstruido,Bomba de gasolina quemada o con baja presion,0,True,0.7164,MOTOR,MOTOR,1
F10L01_0131,C4_G11,El carro gasta mucha gasolina y a veces sale un poco de humo negro al acelerar.,Falla en sensor de oxigeno o mezcla rica,Falla en sensor de oxigeno o mezcla rica,1,True,0.6539,MOTOR,MOTOR,1
F10L01_0140,C4_G20,"El carro anda con olor a gasolina y se siente un poco ahogado, pero no pierde fuerza como antes.",Falla en sensor de oxigeno o mezcla rica,Inyectores sucios o filtro de combustible obstruido,0,True,0.2668,MOTOR,MOTOR,1
F10L01_0142,C4_G22,Sensor O2 aguas arriba con senal irregular. LTFT fuera de rango.,Falla en sensor de oxigeno o mezcla rica,Falla en sensor de oxigeno o mezcla rica,1,True,0.6775,MOTOR,MOTOR,1
F10L01_0171,C5_G11,El ralenti sube y baja solo cuando estoy detenido. Al acelerar se normaliza.,Cuerpo de aceleracion o valvula IAC sucia,Cuerpo de aceleracion o valvula IAC sucia,1,True,0.9814,MOTOR,MOTOR,1
F10L01_0180,C5_G20,Ralenti oscila entre valores altos y bajos sin tocar el acelerador.,Cuerpo de aceleracion o valvula IAC sucia,Cuerpo de aceleracion o valvula IAC sucia,1,True,0.9938,MOTOR,MOTOR,1
F10L01_0182,C5_G22,Al llegar a un alto el motor baja de rpm de forma irregular y vibra un poco.,Cuerpo de aceleracion o valvula IAC sucia,Cuerpo de aceleracion o valvula IAC sucia,1,True,0.8926,MOTOR,MOTOR,1
F10-L02-0011,G06-L2-01,"La temperatura sube en carretera abierta y el depósito de expansión escupe agua caliente, pero el radiador está limpio.",Empaque de culata soplado o danado,Fuga en mangueras de refrigerante o radiador picado,0,True,0.5062,MOTOR,MOTOR,1
F10-L02-0020,G06-L2-10,"Pérdida progresiva de compresión en cilindros 3 y 4 contiguos, con recalentamiento sostenido y escape con humo blancuzco.",Empaque de culata soplado o danado,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,0,False,0.6095,MOTOR,MOTOR,1
F10-L02-0022,G06-L2-12,Al pisar a fondo en subida la aguja sube al tope de inmediato y el vapor sopla por la tapa plástica del reservorio.,Empaque de culata soplado o danado,Faja o cadena de distribucion destensada o con salto de punto,0,False,0.3329,MOTOR,MOTOR,1
F10-L02-0051,G07-L2-01,"En el tráfico de mediodía la temperatura sube casi al rojo, pero apenas avanzo a más de 50 km/h la aguja baja al centro de inmediato.",Falla en termostato o motoventilador de radiador,Falla en termostato o motoventilador de radiador,1,True,0.9647,MOTOR,MOTOR,1
