id,id_grupo,texto_usuario,clase_objetivo,pred_c1,correct_c1,in_top3_c1,conf_c1,macro_sistema,pred_macro_fix,macro_correct
F10L01_0026,C1_G26,El motor tiembla fuerte en ralenti y al acelerar pierde potencia. En caliente empeora. No hay humo y el check engine se prende a veces con P0300.,Falla en bujias o bobinas de encendido (misfire),Falla en bujias o bobinas de encendido (misfire),1,True,0.9226,MOTOR,MOTOR,1
F10L01_0035,C1_G35,Vibracion clara en ralenti que disminuye al acelerar. Se siente como si un cilindro no aportara. No hay ruido de taques ni de cadena. Check a veces enciende.,Falla en bujias o bobinas de encendido (misfire),Faja o cadena de distribucion destensada o con salto de punto,0,True,0.5586,MOTOR,MOTOR,1
F10L01_0037,C1_G37,Motor con misfire evidente en cilindro 4. Contador de fallos sube en caliente. Ralenti inestable. No hay codigos de combustible ni de sensores de oxigeno activos.,Falla en bujias o bobinas de encendido (misfire),Cuerpo de aceleracion o valvula IAC sucia,0,True,0.5252,MOTOR,MOTOR,1
F10L01_0066,C2_G26,Cuando el tanque esta por debajo de la mitad el carro pierde fuerza en subidas y a veces se ahoga al acelerar fuerte. El ralenti es estable y no hay codigos de misfire. Se escucha zumbido en el tanque.,Bomba de gasolina quemada o con baja presion,Bomba de gasolina quemada o con baja presion,1,True,0.9578,MOTOR,MOTOR,1
F10L01_0075,C2_G35,En prueba de ruta: a 100 km/h con tanque al cuarto aparecen tirones. Al bajar a 80 km/h se estabiliza. Ralenti perfecto. No hay codigos de encendido.,Bomba de gasolina quemada o con baja presion,Bomba de gasolina quemada o con baja presion,1,True,0.3938,MOTOR,MOTOR,1
F10L01_0077,C2_G37,Bomba ruidosa y presion de riel inestable bajo demanda. El vehiculo se ahoga en aceleraciones fuertes cuando el nivel es bajo. Filtro de combustible en buen estado.,Bomba de gasolina quemada o con baja presion,Bomba de gasolina quemada o con baja presion,1,True,0.8441,MOTOR,MOTOR,1
F10L01_0106,C3_G26,"Al acelerar fuerte tironea y se ahoga un instante, luego responde. El tanque tiene buen nivel y no hay zumbido. Ralenti estable. Consumo un poco alto. No hay codigos de cilindro.",Inyectores sucios o filtro de combustible obstruido,Inyectores sucios o filtro de combustible obstruido,1,True,0.4837,MOTOR,MOTOR,1
F10L01_0115,C3_G35,Desde el ultimo servicio de inyectores el carro mejoro un tiempo y ahora volvio a tironear en aceleraciones. Consumo otra vez alto. Ralenti estable.,Inyectores sucios o filtro de combustible obstruido,Bomba de gasolina quemada o con baja presion,0,True,0.5561,MOTOR,MOTOR,1
F10L01_0117,C3_G37,Analisis: correccion de combustible alta y respuesta irregular a tip-in. Posible restriccion de filtro o inyectores parcialmente obstruidos. Sin misfire detectado.,Inyectores sucios o filtro de combustible obstruido,Inyectores sucios o filtro de combustible obstruido,1,True,0.987,MOTOR,MOTOR,1
F10L01_0146,C4_G26,"El carro gasta mucha gasolina, huele a gasolina por el escape y a veces sale humo negro al acelerar. Check Engine prendido. El motor no tiembla y el ralenti es estable. No hay zumbido de tanque.",Falla en sensor de oxigeno o mezcla rica,Falla en sensor de oxigeno o mezcla rica,1,True,0.8882,MOTOR,MOTOR,1
F10L01_0155,C4_G35,P0172 y a veces P0420. El auto consume mucho y huele a gasolina. Motor sin misfire. Posible sensor O2 danado o causa de mezcla rica previa.,Falla en sensor de oxigeno o mezcla rica,Falla en sensor de oxigeno o mezcla rica,1,True,0.9957,MOTOR,MOTOR,1
F10L01_0157,C4_G37,Sensor de oxigeno con voltaje atascado en valor rico. Consumo elevado y olor. Presion de combustible normal. Sin codigos de inyector individual.,Falla en sensor de oxigeno o mezcla rica,Falla en sensor de oxigeno o mezcla rica,1,True,0.9035,MOTOR,MOTOR,1
