id,id_grupo,clase_objetivo,macro_sistema,nivel_informacion,texto_usuario,tipo_lenguaje,condicion_operacion,sintomas_presentes,sintomas_negados,dtc,requiere_pregunta,es_contrastivo,clase_contrastiva,fuente,observaciones
F10-L08-0001,G42-L1-01,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L1,Cada vez que paso por un bache o rompemuelles se siente un golpe seco en la parte de adelante.,COTIDIANO,paso_baches,golpe_seco_adelante_en_baches,,,SI,NO,,SINTETICO_IA,L1 golpe seco en baches sin detalles.
F10-L08-0011,G42-L2-01,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L2,Al pasar baches a 30 km/h se siente un golpe sordo en el trapecio delantero derecho; en pista lisa a 100 km/h no vibra nada el volante.,COTIDIANO,baches_30kmh_vs_pista_lisa,golpe_sordo_trapecio_derecho_baches,vibracion_volante_100kmh,,NO,SI,Llantas desbalanceadas o desalineadas,SINTETICO_IA,L2 golpe en bache sin vibración en pista lisa descarta desbalanceo.
F10-L08-0012,G42-L2-02,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L2,El amortiguador delantero izquierdo tiene aceite chorreado en el cuerpo metálico y al pasar rompemuelles el carro rebota 3 veces seguidas.,TALLER,rompemuelles_rebote_triple,amortiguador_chorreado_aceite|rebote_triple_rompemuelles,falla_frenos,,NO,SI,Caliper de freno trabado o mordaza pegada (piston agarrotado),SINTETICO_IA,L2 amortiguador reventado con fuga hidráulica visible y rebote.
F10-L08-0026,G42-L3-01,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L3,Evaluación de suspensión en banco dinamométrico de vibraciones (método Eusama): el amortiguador delantero izquierdo registra una eficacia de adherencia de solo 24% con desequilibrio del 52% respecto al derecho (76%). Inspección visual constata vástago cromado rayado longitudinalmente con fuga activa de aceite hidráulico SAE 5W impregnando el resorte helicoidal. Al descender del banco de prueba y circular sobre resaltos a 25 km/h la carrocería experimenta 4 oscilaciones verticales antes de estabilizarse.,TECNICO,banco_eusama_adherencia_24_porciento,adherencia_eusama_24_porciento|desequilibrio_52_porciento|vastago_rayado_fuga_aceite|4_oscilaciones_resalto,falla_frenos,,NO,SI,Caliper de freno trabado o mordaza pegada (piston agarrotado),SINTETICO_IA,L3 prueba Eusama 24% y fuga en vástago con 4 rebotes.
F10-L08-0027,G42-L3-02,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L3,Inspección de tren delantero con barra de palanca en fosa de taller: el buje posterior de la tijera inferior izquierda (silentblock horizontal de caucho-metal) presenta desgarro perimetral completo del elastómero con juego radial de 6.2 mm. En prueba de carretera a 40 km/h al aplicar una frenada intempestiva se produce un golpe metálico de 86 dBA y la rueda se desplaza 15 mm hacia atrás dentro del guardabarros modificando el ángulo de avance temporalmente.,TECNICO,palanca_fosa_desgarro_buje_6_2mm,desgarro_perimetral_silentblock|juego_radial_6_2mm|clonk_frenada_86dba|desplazamiento_15mm,falla_frenado,,NO,SI,Discos de freno alabeados o desgastados,SINTETICO_IA,L3 buje de trapecio con desgarro total y juego radial de 6.2 mm.
F10-L08-0041,G43-L1-01,Juntas homocineticas o palieres danados,SUSPENSION_CHASIS,L1,Cuando doblo cerrado hacia la derecha con el acelerador pisado suena un trac trac trac rápido.,COTIDIANO,giro_cerrado_derecha,trac_trac_trac_al_girar_derecha,,,SI,NO,,SINTETICO_IA,L1 trac-trac al girar a la derecha.
F10-L08-0042,G43-L1-02,Juntas homocineticas o palieres danados,SUSPENSION_CHASIS,L1,"Hola, al doblar en las esquinas acelerando se escucha un chasquido continuo en la rueda delantera.",WHATSAPP,doblar_esquinas_acelerando,chasquido_continuo_doblar_esquinas,,,SI,NO,,SINTETICO_IA,L1 chasquido al doblar en esquinas.
F10-L08-0043,G43-L1-03,Juntas homocineticas o palieres danados,SUSPENSION_CHASIS,L1,Siento una vibración fuerte en la trompa del auto cuando acelero en subida.,COTIDIANO,aceleracion_subida,vibracion_trompa_al_acelerar_subida,,,SI,NO,,SINTETICO_IA,L1 vibración bajo aceleración.
F10-L08-0044,G43-L1-04,Juntas homocineticas o palieres danados,SUSPENSION_CHASIS,L1,Hace un sonido de matraca metálica cada vez que giro el timón para estacionar.,COTIDIANO,maniobra_estacionar,matraca_metalica_al_girar_timon,,,SI,NO,,SINTETICO_IA,L1 matraca al girar timón.
F10-L08-0051,G43-L2-01,Juntas homocineticas o palieres danados,SUSPENSION_CHASIS,L2,Sonido de matraca metálica de 5 a 6 clics por segundo al girar cerrado a la izquierda en 2da marcha acelerando; con volante recto en recta no suena nada.,COTIDIANO,giro_cerrado_izquierda_acelerando,matraca_5_a_6_clics_giro_izq_acelerando,ruido_en_recta_volante_centrado,,NO,SI,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),SINTETICO_IA,L2 clic en giro bajo aceleración descarta zumbido de rodamiento.
F10-L08-0052,G43-L2-02,Juntas homocineticas o palieres danados,SUSPENSION_CHASIS,L2,Fuelle de goma de la homocinética exterior derecha rajado con pérdida total de grasa negra grafitada; las bolas de acero trabajan en seco con chasquido al girar.,TALLER,inspeccion_fuelle_roto,fuelle_homocinetica_rajado|grasa_grafitada_perdida|chasquido_al_girar,falla_frenos,,NO,SI,Amortiguadores reventados o bujes de suspension gastados,SINTETICO_IA,L2 guardapolvo roto de homocinética con chasquido al torcer.
F10-L08-0066,G43-L3-01,Juntas homocineticas o palieres danados,SUSPENSION_CHASIS,L3,Inspección técnica de semieje delantero derecho en vehículo de tracción delantera: guardapolvo exterior de termoplástico desgarrado con fuga radial de grasa de bisulfuro de molibdeno salpicada en la cara interior de la llanta. En prueba dinámica en circuito cerrado realizando virajes en círculo cerrado a la izquierda con radio de 5.5 metros a 15 km/h bajo par motor de 120 Nm se registra un golpeteo metálico rítmico de 84 dBA a frecuencia de 4.8 Hz (frecuencia de paso de las 6 bolas sobre la pista ranurada). Con la dirección en línea recta y rodando a la misma velocidad el nivel sonoro decae a 46 dBA descartando rodamiento de maza.,TECNICO,viraje_circulo_5_5m_par_120nm,fuelle_desgarrado_grasa_moly|chasquido_84dba_a_4_8hz_giro|decae_a_46dba_en_recta,falla_rodaje_maza,,NO,SI,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),SINTETICO_IA,L3 viraje en círculo 15 km/h a 120 Nm acusa 84 dBA a 4.8 Hz confirmando homocinética exterior.
F10-L08-0067,G43-L3-02,Juntas homocineticas o palieres danados,SUSPENSION_CHASIS,L3,Diagnóstico de sacudida transversal de carrocería en aceleración: en recta lisa a 80 km/h al presionar el acelerador al 100% de carga el vehículo experimenta una oscilación lateral de 2.4 mm en la trompa a frecuencia de 18 Hz; en el instante exacto en que se suelta el acelerador o se engrana punto muerto a la misma velocidad de 80 km/h la oscilación cesa instantáneamente (0.1 mm). Se desmontó el semieje izquierdo constatando que el tulipán de la junta trípode interior presenta 3 surcos de desgaste por fatiga de 1.1 mm de profundidad en las pistas de rodillos.,TECNICO,oscilacion_lateral_2_4mm_carga_vs_neutro,oscilacion_lateral_2_4mm_a_18hz_bajo_carga|cesa_a_0_1mm_al_soltar_gas|surcos_tulipan_1_1mm,desbalanceo_ruedas,,NO,SI,Llantas desbalanceadas o desalineadas,SINTETICO_IA,L3 oscilación lateral de 2.4 mm que cesa en neutro confirma trípode interior vs desbalanceo.
F10-L08-0081,G44-L1-01,Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,L1,El volante empieza a temblar fuerte cuando voy a más de 80 km/h en la carretera.,COTIDIANO,carretera_80kmh,volante_tiembla_a_mas_de_80kmh,,,SI,NO,,SINTETICO_IA,L1 volante tiembla a 80 km/h sin detalles.
F10-L08-0091,G44-L2-01,Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,L2,Vibración oscilatoria en el volante exactamente entre 85 y 105 km/h en pista lisa; no vibra al frenar ni vibra por debajo de 70 km/h.,COTIDIANO,ventana_85_105kmh_pista_lisa,vibracion_volante_85_a_105kmh,vibracion_al_frenar|vibracion_bajo_70kmh,,NO,SI,Discos de freno alabeados o desgastados,SINTETICO_IA,L2 vibración en ventana 85-105 km/h sin frenar descarta disco alabeado.
F10-L08-0092,G44-L2-02,Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,L2,En autopista nivelada a 100 km/h al soltar el volante el vehículo deriva 2 metros a la derecha en 5 segundos; el volante queda torcido 10 grados a la izquierda para ir derecho.,TALLER,deriva_autopista_100kmh,deriva_2m_a_derecha_en_5s|volante_descentrado_10_grados,falla_frenos,,NO,SI,Caliper de freno trabado o mordaza pegada (piston agarrotado),SINTETICO_IA,L2 deriva lateral y volante descentrado descarta mordaza trabada.
F10-L08-0097,G44-L2-07,Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,L2,Al circular a 95 km/h con acelerador pisado o en neutro la vibración del timón se mantiene idéntica; si freno suavemente el auto frena parejo sin pulsaciones.,COTIDIANO,crucero_95kmh_gas_vs_neutro,vibracion_identica_gas_y_neutro_95kmh,pulsaciones_al_frenar,,NO,SI,Discos de freno alabeados o desgastados,SINTETICO_IA,L2 vibración constante en neutro y sin pulsación al frenar descarta discos.
F10-L08-0106,G44-L3-01,Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,L3,Diagnóstico de vibración en banco de balanceo dinámico computarizado: rueda delantera derecha registra desbalance dinámico de 45 gramos en el plano exterior y 25 gramos en el plano interior a 850 rpm (simulando 100 km/h). Al colocar contrapesos de zinc de 45 g y 25 g el desbalance residual se reduce a 0 gramos. En prueba de pista a 100 km/h la vibración del volante disminuye de una amplitud de aceleración RMS de 3.8 m/s2 a 0.2 m/s2. Se descartan discos alabeados dado que al frenar no existe modulación de presión hidráulica ni pulsación.,TECNICO,balanceadora_dinamica_45g_25g,desbalance_45g_exterior_25g_interior|reduccion_a_cero_gramos|amplitud_cae_3_8_a_0_2ms2,pulsacion_frenado,,NO,SI,Discos de freno alabeados o desgastados,SINTETICO_IA,L3 balanceo computarizado 45g/25g elimina vibración de 3.8 m/s2 a 100 km/h.
F10-L08-0107,G44-L3-02,Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,L3,"Medición en alineadora computarizada 3D con cámaras CCD y dianas de alta definición: el eje delantero registra divergencia total de -0°54' (especificación OEM +0°06' a +0°14' de convergencia positiva), ángulo de caída (camber) izquierdo en -2°18' vs derecho en -0°30' (desequilibrio de caída de 1°48') y avance (caster) simétrico en +3°45'. En carretera esto provoca que el vehículo derive lateralmente 3.5 metros en 100 metros hacia el lado derecho y presente desgaste acelerado en el hombro interno del neumático izquierdo.",TECNICO,alineadora_3d_divergencia_menos_0_54,divergencia_menos_0_54_grados|desequilibrio_camber_1_48_grados|deriva_3_5m_en_100m|desgaste_hombro_interno,falla_cremallera,,NO,SI,Cremallera de direccion asistida con holgura o fuga,SINTETICO_IA,L3 alineadora 3D constata divergencia de -0°54' y delta camber de 1°48'.
F10-L08-0109,G44-L3-04,Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,L3,"Hola maestro, tengo un Toyota Corolla. En pista lisa a 90 km/h el volante tiembla como un celular en vibrador, pero si bajo a 70 o subo a 120 km/h el temblor desaparece casi por completo. Al pisar el freno el carro frena suavecito sin vibrar nada. En la llantería le pusieron la rueda a la máquina y faltaban 35 gramos en un lado y 20 en el otro.",WHATSAPP,corolla_90kmh_vs_frenado_suave,volante_tiembla_a_90kmh|desaparece_a_70_y_120|frena_suave_sin_vibrar|faltaban_35g_y_20g,vibracion_al_frenar,,NO,SI,Discos de freno alabeados o desgastados,SINTETICO_IA,L3 relato WhatsApp de desbalanceo a 90 km/h con descarte explícito de frenado.
F10-L08-0121,G45-L1-01,Cremallera de direccion asistida con holgura o fuga,SUSPENSION_CHASIS,L1,El timón tiene un juego muerto en el centro y se escucha un golpecito al moverlo.,COTIDIANO,timon_movimiento_parado,juego_muerto_timon_golpecito,,,SI,NO,,SINTETICO_IA,L1 juego en volante y golpecito.
F10-L08-0131,G45-L2-01,Cremallera de direccion asistida con holgura o fuga,SUSPENSION_CHASIS,L2,Fuga visible de líquido hidráulico ATF por los retenes laterales de la cremallera; los guardapolvos de goma están inflados y empapados de aceite rojo.,TECNICO,inspeccion_fuelles_empapados_atf,fuga_atf_retenes_laterales_cremallera|guardapolvos_inflados_aceite,falla_frenos,,NO,SI,Fuga hidraulica o aire en el sistema de frenos,SINTETICO_IA,L2 fuga de líquido ATF en cremallera descarta circuito de frenos.
F10-L08-0132,G45-L2-02,Cremallera de direccion asistida con holgura o fuga,SUSPENSION_CHASIS,L2,Dirección electroasistida EPS con código DTC C1511 en módulo de dirección; presenta endurecimiento repentino al realizar giros rápidos a baja velocidad.,TECNICO,giros_baja_velocidad_c1511,dtc_c1511|endurecimiento_repentino_eps|giros_rapidos_baja_velocidad,falla_bomba_hidraulica,C1511,NO,SI,Amortiguadores reventados o bujes de suspension gastados,SINTETICO_IA,L2 EPS con C1511 por sensor de par de dirección.
