case_id,category,total_turns,verdict,execution_time_ms,expected_behavior,observed_behavior,notes
CASE_001,GRUPO_A_SALUDO,1,PASS,9,Saludo cordial y orientación sin diagnóstico,Consulta General / Saludo,
CASE_002,GRUPO_A_SALUDO,1,PASS,0,Saludo cordial y bienvenida,Consulta General / Saludo,
CASE_003,GRUPO_A_SALUDO,1,PARTIAL,10,Saludo cordial reconociendo su identidad,Consulta Ambigua / Datos Faltantes,
CASE_004,GRUPO_A_SALUDO,1,PARTIAL,1,Respuesta orientadora pidiendo descripción del síntoma,Consulta Ambigua / Datos Faltantes,
CASE_005,GRUPO_A_SALUDO,1,PASS,0,Saludo cordial,Consulta General / Saludo,
CASE_006,GRUPO_B_L1_AMBIGUO,1,PASS,0,Pedir aclaración o auto-pregunta técnica de descarte,Consulta Ambigua / Datos Faltantes,
CASE_007,GRUPO_B_L1_AMBIGUO,1,PARTIAL,4368,"Preguntar cuándo suena, de dónde proviene o tipo de ruido",Faja o cadena de distribucion destensada o con salto de punto,
CASE_008,GRUPO_B_L1_AMBIGUO,1,PASS,43,Preguntar si da marcha el arrancador o si hay tablero apagado,Auto-pregunta técnica de descarte enviada,
CASE_009,GRUPO_B_L1_AMBIGUO,1,PARTIAL,1,Pedir detalles sobre comportamiento del motor o suspensión,Consulta fuera del alcance automotriz,
CASE_010,GRUPO_B_L1_AMBIGUO,1,PARTIAL,1,"Preguntar si ocurre en subida, acelerando, o si prende check",Consulta fuera del alcance automotriz,
CASE_011,GRUPO_B_L1_AMBIGUO,1,PASS,1,"Preguntar si hierve refrigerante, enciende ventilador o sube aguja",Consulta Ambigua / Datos Faltantes,
CASE_012,GRUPO_B_L1_AMBIGUO,1,PASS,0,"Preguntar por color del humo (blanco, negro, azul)",Consulta Ambigua / Datos Faltantes,
CASE_013,GRUPO_B_L1_AMBIGUO,1,PASS,41,Preguntar si es hidráulico/eléctrico o si suena al girar,Auto-pregunta técnica de descarte enviada,
CASE_014,GRUPO_B_L1_AMBIGUO,1,PASS,3246,"Preguntar si es chirrido metálico, zumbido o vibración",Desgaste de pastillas y zapatas de freno,
CASE_015,GRUPO_B_L1_AMBIGUO,1,PASS,39,"Preguntar si se apaga en ralentí, frenando o en marcha rápida",Auto-pregunta técnica de descarte enviada,
CASE_016,GRUPO_C_PROGRESION,3,PASS,6316,Evolucionar de aclaración a diagnóstico de misfire/ignición,Falla en bujias o bobinas de encendido (misfire),
CASE_017,GRUPO_C_PROGRESION,3,PASS,11526,Evolucionar hacia rodamiento de maza / rueda,Rodajes de caja mecanica o diferencial gastados,
CASE_018,GRUPO_C_PROGRESION,3,PASS,3311,Evolucionar hacia motor de arranque o solenoide/carbones,Consulta Ambigua / Datos Faltantes,
CASE_019,GRUPO_C_PROGRESION,3,PASS,3,Evolucionar hacia bomba de gasolina quemada/baja presión,Consulta Ambigua / Datos Faltantes,
CASE_020,GRUPO_C_PROGRESION,3,PASS,8172,Evolucionar hacia consumo de aceite / anillos o retenes,Consumo de aceite por desgaste de anillos o retenes,
CASE_021,GRUPO_C_PROGRESION,3,PASS,48,Evolucionar hacia termostato o motoventilador,Consulta fuera del alcance automotriz,
CASE_022,GRUPO_C_PROGRESION,3,PASS,99,Evolucionar hacia discos de freno alabeados,Llantas desbalanceadas o desalineadas,
CASE_023,GRUPO_C_PROGRESION,3,PASS,157,Evolucionar hacia bombín o bomba hidráulica de embrague,Fuga hidraulica o aire en el sistema de frenos,
CASE_024,GRUPO_C_PROGRESION,3,PASS,54,Evolucionar hacia amortiguadores reventados / bujes,Amortiguadores reventados o bujes de suspension gastados,
CASE_025,GRUPO_C_PROGRESION,3,PASS,93,Evolucionar hacia sensor de oxígeno o mezcla rica,Falla en sensor de oxigeno o mezcla rica,
CASE_026,GRUPO_D_DIRECTO,1,PASS,2,Diagnosticar Desgaste de pastillas y zapatas de freno (FRENOS),Desgaste de pastillas y zapatas de freno,
CASE_027,GRUPO_D_DIRECTO,1,PARTIAL,1,Diagnosticar Alternador defectuoso o placa de diodos (ELECTRICO),Consulta Ambigua / Datos Faltantes,
CASE_028,GRUPO_D_DIRECTO,1,PARTIAL,50,Diagnosticar Juntas homocinéticas o palieres dañados (SUSPENSION_CHASIS),Cremallera de direccion asistida con holgura o fuga,
CASE_029,GRUPO_D_DIRECTO,1,PASS,46,Diagnosticar Disco de embrague desgastado o patinando (TRANSMISION),Disco de embrague desgastado o patinando,
CASE_030,GRUPO_D_DIRECTO,1,PASS,45,Diagnosticar Empaque de culata soplado o dañado (MOTOR),Empaque de culata soplado o danado,
CASE_031,GRUPO_D_DIRECTO,1,PARTIAL,2,Diagnosticar Falla en compresor de aire acondicionado o fuga de gas R134a (CLIMATIZACION),Consulta fuera del alcance automotriz,
