case_id,session_id,turn,user_input,normalized_input,current_issue,stored_positive_symptoms,stored_negative_symptoms,unknown_information,DTC,synthesized_ml_query,macro_prediction,macro_confidence,fault_top1,fault_top2,fault_top3,fault_confidences,rag_query,rag_hits,final_response,latency_ms
CASE_001,f11_case_001,1,Hola,Hola,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,Hola,MOTOR,1.0000,Consulta General / Saludo,NOT_AVAILABLE,NOT_AVAILABLE,1.0000,NOT_AVAILABLE,NOT_AVAILABLE,👋 Hola. ¿Qué falla presenta el vehículo?,9
CASE_002,f11_case_002,1,Buenas tardes maestro,Buenas tardes maestro,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,Buenas tardes maestro,MOTOR,1.0000,Consulta General / Saludo,NOT_AVAILABLE,NOT_AVAILABLE,1.0000,NOT_AVAILABLE,NOT_AVAILABLE,👋 Hola. ¿Qué falla presenta el vehículo?,1
CASE_003,f11_case_003,1,Qué tal CarBot,Qué tal CarBot,esperando_clarificacion,qué tal carbot,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,Qué tal CarBot,MOTOR,0.0000,Consulta Ambigua / Datos Faltantes,NOT_AVAILABLE,NOT_AVAILABLE,0.0000,NOT_AVAILABLE,NOT_AVAILABLE,"⚠️ Especifique: ¿ocurre al arrancar, acelerar o frenar?",10
CASE_004,f11_case_004,1,Necesito ayuda con mi carro,Necesito ayuda con mi carro,esperando_clarificacion,necesito ayuda con mi carro,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,Necesito ayuda con mi carro,MOTOR,0.0000,Consulta Ambigua / Datos Faltantes,NOT_AVAILABLE,NOT_AVAILABLE,0.0000,NOT_AVAILABLE,NOT_AVAILABLE,"⚠️ Especifique: ¿ocurre al arrancar, acelerar o frenar?",1
CASE_005,f11_case_005,1,Hola amigo,Hola amigo,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,Hola amigo,MOTOR,1.0000,Consulta General / Saludo,NOT_AVAILABLE,NOT_AVAILABLE,1.0000,NOT_AVAILABLE,NOT_AVAILABLE,👋 Hola. ¿Qué falla presenta el vehículo?,1
CASE_006,f11_case_006,1,mi carro tiembla,mi carro tiembla,esperando_clarificacion,mi carro tiembla,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,mi carro tiembla,MOTOR,0.0000,Consulta Ambigua / Datos Faltantes,NOT_AVAILABLE,NOT_AVAILABLE,0.0000,NOT_AVAILABLE,NOT_AVAILABLE,"⚠️ Especifique: ¿ocurre al arrancar, acelerar o frenar?",1
CASE_007,f11_case_007,1,hace un ruido,hace un ruido,completo,hace un ruido,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,hace un ruido,MOTOR,0.5539,Faja o cadena de distribucion destensada o con salto de punto,Bateria descargada o bornes sulfatados,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),Faja o cadena de distribucion destensada o con salto de punto: 0.5539; Bateria descargada o bornes sulfatados: 0.2900; Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura): 0.1560,hace un ruido,PROCEDIMIENTO: DIAGNÓSTICO DE CORRELACIÓN CIGÜEÑAL Y ÁRBOL DE LEVAS (DTC P0016 / P0017),"🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial** - **Hipótesis Principal:** Faja o cadena de distribución destensada o con salto de punto (55%). - **Diagnóstico Diferencial:**    Dada la vaguedad del síntoma reportado (""hace un ruido""), es indispensable realizar un descarte metódico antes",4367
CASE_008,f11_case_008,1,no prende,presenta motor no arranca.,esperando_autopregunta,no prende,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,presenta motor no arranca.,ELECTRICO,0.5702,Bateria descargada o bornes sulfatados,Inyectores sucios o filtro de combustible obstruido,Falla en bujias o bobinas de encendido (misfire),Bateria descargada o bornes sulfatados: 0.5702; Inyectores sucios o filtro de combustible obstruido: 0.1568; Falla en bujias o bobinas de encendido (misfire): 0.1526,NOT_AVAILABLE,NOT_AVAILABLE,"🤖 🔍 Para precisar el origen del problema de arranque:  • 1️⃣ Las luces del tablero se apagan o parpadean al dar arranque y suena arrastrado (Batería descargada) — 57% • 2️⃣ El motor tose, tironea a cualquier velocidad o le cuesta responder al acelerador (Inyectores / Filtro) — 16% • 3️⃣ Jalonea o ca",43
CASE_009,f11_case_009,1,se siente raro al manejar,se siente raro al manejar,inicio,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,se siente raro al manejar,MOTOR,0.0000,Consulta fuera del alcance automotriz,NOT_AVAILABLE,NOT_AVAILABLE,0.0000,NOT_AVAILABLE,NOT_AVAILABLE,"🚗 Describe el síntoma, por ejemplo: *vibra al manejar*.",1
CASE_010,f11_case_010,1,pierde fuerza,presenta pérdida de potencia.,inicio,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,presenta pérdida de potencia.,MOTOR,0.0000,Consulta fuera del alcance automotriz,NOT_AVAILABLE,NOT_AVAILABLE,0.0000,NOT_AVAILABLE,NOT_AVAILABLE,"🚗 Describe el síntoma, por ejemplo: *vibra al manejar*.",1
CASE_011,f11_case_011,1,se calienta,se calienta,esperando_clarificacion,se calienta,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,se calienta,MOTOR,0.0000,Consulta Ambigua / Datos Faltantes,NOT_AVAILABLE,NOT_AVAILABLE,0.0000,NOT_AVAILABLE,NOT_AVAILABLE,"⚠️ Especifique: ¿ocurre al arrancar, acelerar o frenar?",1
CASE_012,f11_case_012,1,bota humo,bota humo,esperando_clarificacion,bota humo,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,bota humo,MOTOR,0.0000,Consulta Ambigua / Datos Faltantes,NOT_AVAILABLE,NOT_AVAILABLE,0.0000,NOT_AVAILABLE,NOT_AVAILABLE,"⚠️ Especifique: ¿ocurre al arrancar, acelerar o frenar?",1
CASE_013,f11_case_013,1,el timón está duro,el timón está duro,esperando_autopregunta,el timón está duro,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,el timón está duro,SUSPENSION_CHASIS,0.5350,Cremallera de direccion asistida con holgura o fuga,Llantas desbalanceadas o desalineadas,Falla en servofreno (booster) o linea de vacio,Cremallera de direccion asistida con holgura o fuga: 0.5350; Llantas desbalanceadas o desalineadas: 0.4620; Falla en servofreno (booster) o linea de vacio: 0.0018,NOT_AVAILABLE,NOT_AVAILABLE,"🤖 🔍 Para confirmar el diagnóstico entre las principales hipótesis técnicas:  • 1️⃣ El timón tiene juego excesivo, fuga líquido de dirección o golpea al doblar (Cremallera de dirección) — 54% • 2️⃣ La vibración ocurre en carretera a velocidad constante sin tocar el pedal de freno (Llantas desbalancea",41
CASE_014,f11_case_014,1,suena feo al frenar,presenta ruido anómalo. cuando está al frenar.,completo,suena feo al frenar,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,presenta ruido anómalo. cuando está al frenar.,FRENOS,0.8415,Desgaste de pastillas y zapatas de freno,Discos de freno alabeados o desgastados,Falla en sistema de frenado regenerativo (EV / Hibridos),Desgaste de pastillas y zapatas de freno: 0.8415; Discos de freno alabeados o desgastados: 0.1030; Falla en sistema de frenado regenerativo (EV / Hibridos): 0.0550,presenta ruido anómalo. cuando está al frenar.,PROCEDIMIENTO: INSPECCIÓN DE ESPESOR Y SUSTITUCIÓN DE PASTILLAS Y ZAPATAS DE FRENO (CHILLIDO / C0035),🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial**  * **Hipótesis Principal:** Desgaste de pastillas y zapatas de freno (84%). * **Diagnóstico Diferencial:**    - **Hipótesis Principal (Desgaste de pastillas/zapatas - 84%):** Se manifiesta con un chillido agudo metálico intermitente o const,3245
CASE_015,f11_case_015,1,se apaga,presenta apagado de motor.,esperando_autopregunta,se apaga,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,presenta apagado de motor.,MOTOR,0.2178,Cuerpo de aceleracion o valvula IAC sucia,Falla en bujias o bobinas de encendido (misfire),Limpiaparabrisas o motor pluma quemado,Cuerpo de aceleracion o valvula IAC sucia: 0.2178; Falla en bujias o bobinas de encendido (misfire): 0.1938; Limpiaparabrisas o motor pluma quemado: 0.1918,NOT_AVAILABLE,NOT_AVAILABLE,🤖 🔍 Para confirmar el diagnóstico entre las principales hipótesis técnicas:  • 1️⃣ Las revoluciones (RPM) suben y bajan solas o se apaga al desacelerar o llegar a semáforos (Cuerpo de aceleración / IAC) — 22% • 2️⃣ Jalonea o cabecea con pérdida de fuerza al acelerar en subida o carga (Bujías o bobin,39
CASE_016,f11_case_016,1,mi carro tiembla,mi carro tiembla,esperando_clarificacion,mi carro tiembla,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,mi carro tiembla,MOTOR,0.0000,Consulta Ambigua / Datos Faltantes,NOT_AVAILABLE,NOT_AVAILABLE,0.0000,NOT_AVAILABLE,NOT_AVAILABLE,"⚠️ Especifique: ¿ocurre al arrancar, acelerar o frenar?",1
CASE_016,f11_case_016,2,cuando acelero en subida,cuando está al acelerar bajo carga.,completo,cuando acelero en subida,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,cuando está al acelerar bajo carga.,MOTOR,0.5820,Bomba de gasolina quemada o con baja presion,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),Inyectores sucios o filtro de combustible obstruido,Bomba de gasolina quemada o con baja presion: 0.5820; Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups): 0.2720; Inyectores sucios o filtro de combustible obstruido: 0.1460,cuando está al acelerar bajo carga.,PROCEDIMIENTO: DIAGNÓSTICO DE BAJA PRESIÓN EN RIEL DE COMBUSTIBLE (DTC P0087),🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial** - **Hipótesis Principal:** Bomba de gasolina quemada o con baja presión (58%). La pérdida de potencia reportada al acelerar bajo carga es el síntoma clásico de un suministro insuficiente de combustible hacia los cilindros. - **Diagnóstico D,3156
