case_id,turn,rag_query,titulo_manual,similitud_rag,relevante,observacion
CASE_007,1,hace un ruido,PROCEDIMIENTO: DIAGNÓSTICO DE CORRELACIÓN CIGÜEÑAL Y ÁRBOL DE LEVAS (DTC P0016 / P0017),0.2685,SI,Procedimiento indexado recuperado
CASE_014,1,presenta ruido anómalo. cuando está al frenar.,PROCEDIMIENTO: INSPECCIÓN DE ESPESOR Y SUSTITUCIÓN DE PASTILLAS Y ZAPATAS DE FRENO (CHILLIDO / C0035),0.4186,SI,Procedimiento indexado recuperado
CASE_016,2,cuando está al acelerar bajo carga.,PROCEDIMIENTO: DIAGNÓSTICO DE BAJA PRESIÓN EN RIEL DE COMBUSTIBLE (DTC P0087),0.7418,SI,Procedimiento indexado recuperado
CASE_016,3,presenta funcionamiento irregular / misfire. cuando está al acelerar bajo carga.,"PROCEDIMIENTO: DIAGNÓSTICO DE TURBOALIMENTADOR, ACTUADOR ELECTRÓNICO WASTEGATE Y FUGAS DE PRESIÓN DE AIRE (DTC P0234 / P0299)",0.3555,SI,Procedimiento indexado recuperado
CASE_017,1,hace un ruido adelante,"PROCEDIMIENTO: DIAGNÓSTICO Y REPARACIÓN DE ALTERNADOR, REGULADOR DE VOLTAJE Y BATERÍA (DTC P0562 / P0620 / EL ALTERNADOR NO CARGA Y BATERÍA DESCARGADA)",0.1779,SI,Procedimiento indexado recuperado
CASE_017,2,presenta ruido anómalo.,PROCEDIMIENTO: DIAGNÓSTICO DE CORRELACIÓN CIGÜEÑAL Y ÁRBOL DE LEVAS (DTC P0016 / P0017),0.2999,SI,Procedimiento indexado recuperado
CASE_017,3,aumenta con la velocidad y se calma al virar a la derecha,PROCEDIMIENTO: SERVICIO A CAJA DE CAMBIOS MECANICA Y RODAJES DE DIFERENCIAL (TRANSMISION_002 / TRANSMISION_003),0.2153,SI,Procedimiento indexado recuperado
CASE_018,2,presenta motor no arranca.,PROCEDIMIENTO: DIAGNÓSTICO DE BAJO VOLTAJE DEL SISTEMA ELÉCTRICO Y ALTERNADOR (DTC P0562),0.2257,SI,Procedimiento indexado recuperado
CASE_020,2,bota humo por el escape,"PROCEDIMIENTO: DIAGNÓSTICO METROLÓGICO DE CONSUMO DE ACEITE, ENDOSCOPÍA Y SUSTITUCIÓN DE RETENES DE VÁLVULA",0.3636,SI,Procedimiento indexado recuperado
CASE_020,3,consume medio litro de aceite cada 400 km,"PROCEDIMIENTO: DIAGNÓSTICO METROLÓGICO DE CONSUMO DE ACEITE, ENDOSCOPÍA Y SUSTITUCIÓN DE RETENES DE VÁLVULA",0.4671,SI,Procedimiento indexado recuperado
