id,clase_objetivo,nivel_informacion,estado_auditoria,motivos,sim_intra_max,sim_inter_max,inter_ref_origen,dtc,es_contrastivo,clase_contrastiva
F10-L04-0001,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),L1,APROBADO,CONFORME,0.1365,0.3464,TRAIN,,NO,
F10-L04-0002,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),L1,APROBADO,CONFORME,0.131,0.2206,LOTE_03,,NO,
F10-L04-0003,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),L1,APROBADO,CONFORME,0.0717,0.1608,LOTE_02,,NO,
F10-L04-0004,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),L1,APROBADO,CONFORME,0.1304,0.3059,LOTE_02,,NO,
F10-L04-0005,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),L1,APROBADO,CONFORME,0.272,0.1883,TRAIN,,NO,
F10-L04-0006,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),L1,APROBADO,CONFORME,0.0896,0.2644,LOTE_03,,NO,
F10-L04-0007,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),L1,APROBADO,CONFORME,0.113,0.2386,LOTE_03,,NO,
F10-L04-0008,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),L1,APROBADO,CONFORME,0.1625,0.2329,TRAIN,,NO,
F10-L04-0009,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),L1,APROBADO,CONFORME,0.1245,0.1711,LOTE_03,,NO,
F10-L04-0010,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),L1,APROBADO,CONFORME,0.1012,0.2676,TRAIN,,NO,
F10-L04-0011,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),L2,APROBADO,CONFORME,0.1779,0.272,TRAIN,,SI,Baja presion de aceite o bomba de aceite defectuosa
F10-L04-0012,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),L2,APROBADO,CONFORME,0.1348,0.1577,TRAIN,,SI,Baja presion de aceite o bomba de aceite defectuosa
F10-L04-0013,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),L2,APROBADO,CONFORME,0.078,0.1351,LOTE_02,P0524,SI,Baja presion de aceite o bomba de aceite defectuosa
F10-L04-0014,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),L2,APROBADO,CONFORME,0.2164,0.1446,LOTE_03,,SI,Baja presion de aceite o bomba de aceite defectuosa
F10-L04-0015,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),L2,APROBADO,CONFORME,0.1866,0.2519,TRAIN,P0016,SI,Faja o cadena de distribucion destensada o con salto de punto
F10-L04-0016,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),L2,APROBADO,CONFORME,0.132,0.1498,TRAIN,,NO,
F10-L04-0017,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),L2,APROBADO,CONFORME,0.129,0.2507,G1,,SI,Baja presion de aceite o bomba de aceite defectuosa
F10-L04-0018,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),L2,APROBADO,CONFORME,0.1756,0.1942,TRAIN,,NO,
