id,clase_objetivo,nivel_informacion,estado_auditoria,motivos,sim_intra_max,sim_inter_max,inter_ref_origen,dtc,es_contrastivo,clase_contrastiva
F10-L10-0001,Falla en compresor de aire acondicionado o fuga de gas R134a,L1,APROBADO,CONFORME,0.117,0.4447,FIELD_60,,NO,
F10-L10-0002,Falla en compresor de aire acondicionado o fuga de gas R134a,L1,APROBADO,CONFORME,0.1904,0.2377,FIELD_60,,NO,
F10-L10-0003,Falla en compresor de aire acondicionado o fuga de gas R134a,L1,APROBADO,CONFORME,0.0983,0.2476,LOTE_03,,NO,
F10-L10-0004,Falla en compresor de aire acondicionado o fuga de gas R134a,L1,APROBADO,CONFORME,0.2032,0.2479,TRAIN,,NO,
F10-L10-0005,Falla en compresor de aire acondicionado o fuga de gas R134a,L1,APROBADO,CONFORME,0.0713,0.217,TRAIN,,NO,
F10-L10-0006,Falla en compresor de aire acondicionado o fuga de gas R134a,L1,APROBADO,CONFORME,0.1675,0.2088,TRAIN,,NO,
F10-L10-0007,Falla en compresor de aire acondicionado o fuga de gas R134a,L1,APROBADO,CONFORME,0.1023,0.2746,TRAIN,,NO,
F10-L10-0008,Falla en compresor de aire acondicionado o fuga de gas R134a,L1,APROBADO,CONFORME,0.0557,0.217,LOTE_02,,NO,
F10-L10-0009,Falla en compresor de aire acondicionado o fuga de gas R134a,L1,APROBADO,CONFORME,0.0715,0.1938,TRAIN,,NO,
F10-L10-0010,Falla en compresor de aire acondicionado o fuga de gas R134a,L1,APROBADO,CONFORME,0.1312,0.2298,LOTE_02,,NO,
F10-L10-0011,Falla en compresor de aire acondicionado o fuga de gas R134a,L2,APROBADO,CONFORME,0.0983,0.1783,TRAIN,,SI,Falla en termostato o motoventilador de radiador
F10-L10-0012,Falla en compresor de aire acondicionado o fuga de gas R134a,L2,APROBADO,CONFORME,0.1675,0.2019,TRAIN,,SI,Falla en termostato o motoventilador de radiador
F10-L10-0013,Falla en compresor de aire acondicionado o fuga de gas R134a,L2,APROBADO,CONFORME,0.1142,0.159,TRAIN,,SI,Falla en termostato o motoventilador de radiador
F10-L10-0014,Falla en compresor de aire acondicionado o fuga de gas R134a,L2,APROBADO,CONFORME,0.0896,0.1261,LOTE_09,,NO,
F10-L10-0015,Falla en compresor de aire acondicionado o fuga de gas R134a,L2,APROBADO,CONFORME,0.1001,0.1757,TRAIN,,SI,Alternador defectuoso o placa de diodos quemada
F10-L10-0016,Falla en compresor de aire acondicionado o fuga de gas R134a,L2,APROBADO,CONFORME,0.2089,0.1434,LOTE_06,B1422,NO,
F10-L10-0017,Falla en compresor de aire acondicionado o fuga de gas R134a,L2,APROBADO,CONFORME,0.0888,0.2141,TRAIN,,NO,
F10-L10-0018,Falla en compresor de aire acondicionado o fuga de gas R134a,L2,APROBADO,CONFORME,0.1182,0.2626,TRAIN,,SI,Alternador defectuoso o placa de diodos quemada
F10-L10-0019,Falla en compresor de aire acondicionado o fuga de gas R134a,L2,APROBADO,CONFORME,0.1084,0.2106,TRAIN,,SI,Foco o falla en sistema de refrigeracion de bateria/inversor (EV)
F10-L10-0020,Falla en compresor de aire acondicionado o fuga de gas R134a,L2,APROBADO,CONFORME,0.1047,0.1382,TRAIN,,SI,Falla en sensor de oxigeno o mezcla rica
F10-L10-0021,Falla en compresor de aire acondicionado o fuga de gas R134a,L2,APROBADO,CONFORME,0.1057,0.2614,G1,B1423,NO,
F10-L10-0022,Falla en compresor de aire acondicionado o fuga de gas R134a,L2,APROBADO,CONFORME,0.1014,0.1517,TRAIN,,NO,
F10-L10-0023,Falla en compresor de aire acondicionado o fuga de gas R134a,L2,APROBADO,CONFORME,0.0897,0.106,TRAIN,,SI,Alternador defectuoso o placa de diodos quemada
F10-L10-0024,Falla en compresor de aire acondicionado o fuga de gas R134a,L2,APROBADO,CONFORME,0.0727,0.1606,TRAIN,,SI,Falla en termostato o motoventilador de radiador
F10-L10-0025,Falla en compresor de aire acondicionado o fuga de gas R134a,L2,APROBADO,CONFORME,0.0921,0.1322,TRAIN,,SI,Falla en termostato o motoventilador de radiador
F10-L10-0026,Falla en compresor de aire acondicionado o fuga de gas R134a,L3,APROBADO,CONFORME,0.1018,0.1739,G1,,SI,Falla en termostato o motoventilador de radiador
F10-L10-0027,Falla en compresor de aire acondicionado o fuga de gas R134a,L3,APROBADO,CONFORME,0.092,0.1059,LOTE_02,,SI,Falla en termostato o motoventilador de radiador
F10-L10-0028,Falla en compresor de aire acondicionado o fuga de gas R134a,L3,APROBADO,CONFORME,0.0968,0.1087,LOTE_05,,NO,
F10-L10-0029,Falla en compresor de aire acondicionado o fuga de gas R134a,L3,APROBADO,CONFORME,0.1111,0.124,LOTE_05,,SI,Alternador defectuoso o placa de diodos quemada
F10-L10-0030,Falla en compresor de aire acondicionado o fuga de gas R134a,L3,APROBADO,CONFORME,0.0773,0.1178,LOTE_09,B1070,NO,
F10-L10-0031,Falla en compresor de aire acondicionado o fuga de gas R134a,L3,APROBADO,CONFORME,0.0464,0.0989,TRAIN,,SI,Falla en termostato o motoventilador de radiador
