id,clase_objetivo,nivel_informacion,estado_auditoria,motivos,sim_intra_max,sim_inter_max,inter_ref_origen,dtc,es_contrastivo,clase_contrastiva
F10-L05-0001,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L1,APROBADO,CONFORME,0.1442,0.4676,LOTE_04,,NO,
F10-L05-0002,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L1,APROBADO,CONFORME,0.1222,0.2798,TRAIN,,NO,
F10-L05-0003,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L1,APROBADO,CONFORME,0.0792,0.1897,TRAIN,,NO,
F10-L05-0004,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L1,APROBADO,CONFORME,0.1807,0.217,LOTE_01,,NO,
F10-L05-0005,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L1,APROBADO,CONFORME,0.2418,0.2064,TRAIN,,NO,
F10-L05-0006,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L1,APROBADO,CONFORME,0.3314,0.3564,TRAIN,,NO,
F10-L05-0007,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L1,APROBADO,CONFORME,0.1453,0.2219,TRAIN,,NO,
F10-L05-0008,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L1,APROBADO,CONFORME,0.1906,0.2826,LOTE_04,,NO,
F10-L05-0009,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L1,APROBADO,CONFORME,0.083,0.2035,TRAIN,,NO,
F10-L05-0010,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L1,APROBADO,CONFORME,0.0437,0.0997,TRAIN,,NO,
F10-L05-0011,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L2,APROBADO,CONFORME,0.1906,0.2527,TRAIN,,SI,Bomba de gasolina quemada o con baja presion
F10-L05-0012,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L2,APROBADO,CONFORME,0.1907,0.3312,TRAIN,P0335,SI,Bomba de gasolina quemada o con baja presion
F10-L05-0013,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L2,APROBADO,CONFORME,0.0975,0.1789,TRAIN,,SI,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados)
F10-L05-0014,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L2,APROBADO,CONFORME,0.1454,0.2371,TRAIN,P0340,SI,Faja o cadena de distribucion destensada o con salto de punto
F10-L05-0015,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L2,APROBADO,CONFORME,0.1675,0.1794,TRAIN,,NO,
F10-L05-0016,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L2,APROBADO,CONFORME,0.107,0.1454,TRAIN,P0339,SI,Falla en bujias o bobinas de encendido (misfire)
F10-L05-0017,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L2,APROBADO,CONFORME,0.1054,0.1856,TRAIN,,SI,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados)
F10-L05-0018,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L2,APROBADO,CONFORME,0.1045,0.1563,TRAIN,P0335,SI,Faja o cadena de distribucion destensada o con salto de punto
F10-L05-0019,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L2,APROBADO,CONFORME,0.1286,0.1487,TRAIN,,NO,
F10-L05-0020,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L2,APROBADO,CONFORME,0.096,0.1459,LOTE_01,P0016,SI,Faja o cadena de distribucion destensada o con salto de punto
F10-L05-0021,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L2,APROBADO,CONFORME,0.1345,0.1697,TRAIN,,SI,Bomba de gasolina quemada o con baja presion
F10-L05-0022,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L2,APROBADO,CONFORME,0.2013,0.2167,TRAIN,P0341,SI,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic)
F10-L05-0023,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L2,APROBADO,CONFORME,0.0784,0.1955,TRAIN,,NO,
F10-L05-0024,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),L2,APROBADO,CONFORME,0.1056,0.1612,LOTE_04,,NO,
