id,clase_objetivo,nivel_informacion,estado_auditoria,motivos,sim_intra_max,sim_inter_max,inter_ref_origen,dtc,es_contrastivo,clase_contrastiva
F10-L09-0001,Alternador defectuoso o placa de diodos quemada,L1,APROBADO,CONFORME,0.1607,0.1817,TRAIN,,NO,
F10-L09-0002,Alternador defectuoso o placa de diodos quemada,L1,APROBADO,CONFORME,0.1149,0.3277,TRAIN,,NO,
F10-L09-0003,Alternador defectuoso o placa de diodos quemada,L1,APROBADO,CONFORME,0.1176,0.2017,TRAIN,,NO,
F10-L09-0004,Alternador defectuoso o placa de diodos quemada,L1,APROBADO,CONFORME,0.1075,0.3315,TRAIN,,NO,
F10-L09-0005,Alternador defectuoso o placa de diodos quemada,L1,APROBADO,CONFORME,0.1241,0.284,TRAIN,,NO,
F10-L09-0006,Alternador defectuoso o placa de diodos quemada,L1,APROBADO,CONFORME,0.1122,0.1453,TRAIN,,NO,
F10-L09-0007,Alternador defectuoso o placa de diodos quemada,L1,APROBADO,CONFORME,0.2013,0.2434,TEST_100,,NO,
F10-L09-0008,Alternador defectuoso o placa de diodos quemada,L1,APROBADO,CONFORME,0.1782,0.2349,TRAIN,,NO,
F10-L09-0009,Alternador defectuoso o placa de diodos quemada,L1,APROBADO,CONFORME,0.1207,0.2671,TEST_100,,NO,
F10-L09-0010,Alternador defectuoso o placa de diodos quemada,L1,APROBADO,CONFORME,0.0554,0.1578,TRAIN,,NO,
F10-L09-0011,Alternador defectuoso o placa de diodos quemada,L2,APROBADO,CONFORME,0.1878,0.3154,TRAIN,,SI,Bateria descargada o bornes sulfatados
F10-L09-0012,Alternador defectuoso o placa de diodos quemada,L2,APROBADO,CONFORME,0.1418,0.2172,G2,,SI,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados)
F10-L09-0013,Alternador defectuoso o placa de diodos quemada,L2,APROBADO,CONFORME,0.0971,0.1684,LOTE_07,,SI,Rodajes de transmision manual o eje primario gastados
F10-L09-0014,Alternador defectuoso o placa de diodos quemada,L2,APROBADO,CONFORME,0.1495,0.1376,TRAIN,,SI,Fuga parasita de corriente en reposo (consumo nocturno de bateria)
F10-L09-0015,Alternador defectuoso o placa de diodos quemada,L2,APROBADO,CONFORME,0.1012,0.2521,TRAIN,,SI,Bateria descargada o bornes sulfatados
F10-L09-0016,Alternador defectuoso o placa de diodos quemada,L2,APROBADO,CONFORME,0.2013,0.2053,TRAIN,,SI,Bateria descargada o bornes sulfatados
F10-L09-0017,Alternador defectuoso o placa de diodos quemada,L2,APROBADO,CONFORME,0.1507,0.1861,LOTE_04,P0620,SI,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados)
F10-L09-0018,Alternador defectuoso o placa de diodos quemada,L2,APROBADO,CONFORME,0.1011,0.2515,TRAIN,,SI,Fuga parasita de corriente en reposo (consumo nocturno de bateria)
